Key_Scheme,Percent_correct,Percent_incorrect,Num_true_positives,Num_false_positives,Num_true_negatives,Num_false_negatives,IR_precision,IR_recall,Area_under_ROC
weka.classifiers.meta.CostSensitiveClassifier,30.508475,69.491525,18,41,0,0,0.305085,1,0.5
weka.classifiers.meta.CostSensitiveClassifier,30.508475,69.491525,18,41,0,0,0.305085,1,0.5
weka.classifiers.meta.CostSensitiveClassifier,30.508475,69.491525,18,41,0,0,0.305085,1,0.5
weka.classifiers.meta.CostSensitiveClassifier,30.508475,69.491525,18,41,0,0,0.305085,1,0.5
weka.classifiers.meta.CostSensitiveClassifier,30.508475,69.491525,18,41,0,0,0.305085,1,0.5
weka.classifiers.meta.CostSensitiveClassifier,30.508475,69.491525,18,41,0,0,0.305085,1,0.5
weka.classifiers.meta.CostSensitiveClassifier,32.20339,67.79661,19,40,0,0,0.322034,1,0.5
weka.classifiers.meta.CostSensitiveClassifier,32.20339,67.79661,19,40,0,0,0.322034,1,0.5
weka.classifiers.meta.CostSensitiveClassifier,32.20339,67.79661,19,40,0,0,0.322034,1,0.5
weka.classifiers.meta.CostSensitiveClassifier,32.20339,67.79661,19,40,0,0,0.322034,1,0.5
weka.classifiers.meta.CostSensitiveClassifier,30.508475,69.491525,18,41,0,0,0.305085,1,0.5
weka.classifiers.meta.CostSensitiveClassifier,30.508475,69.491525,18,41,0,0,0.305085,1,0.5
weka.classifiers.meta.CostSensitiveClassifier,30.508475,69.491525,18,41,0,0,0.305085,1,0.5
weka.classifiers.meta.CostSensitiveClassifier,30.508475,69.491525,18,41,0,0,0.305085,1,0.5
weka.classifiers.meta.CostSensitiveClassifier,30.508475,69.491525,18,41,0,0,0.305085,1,0.5
weka.classifiers.meta.CostSensitiveClassifier,30.508475,69.491525,18,41,0,0,0.305085,1,0.5
weka.classifiers.meta.CostSensitiveClassifier,30.508475,69.491525,18,41,0,0,0.305085,1,0.5
weka.classifiers.meta.CostSensitiveClassifier,32.20339,67.79661,19,40,0,0,0.322034,1,0.5
weka.classifiers.meta.CostSensitiveClassifier,32.20339,67.79661,19,40,0,0,0.322034,1,0.5
weka.classifiers.meta.CostSensitiveClassifier,32.20339,67.79661,19,40,0,0,0.322034,1,0.5
weka.classifiers.meta.CostSensitiveClassifier,32.20339,67.79661,19,40,0,0,0.322034,1,0.5
weka.classifiers.meta.CostSensitiveClassifier,30.508475,69.491525,18,41,0,0,0.305085,1,0.5
weka.classifiers.meta.CostSensitiveClassifier,30.508475,69.491525,18,41,0,0,0.305085,1,0.5
weka.classifiers.meta.CostSensitiveClassifier,30.508475,69.491525,18,41,0,0,0.305085,1,0.5
weka.classifiers.meta.CostSensitiveClassifier,30.508475,69.491525,18,41,0,0,0.305085,1,0.5
weka.classifiers.meta.CostSensitiveClassifier,30.508475,69.491525,18,41,0,0,0.305085,1,0.5
weka.classifiers.meta.CostSensitiveClassifier,30.508475,69.491525,18,41,0,0,0.305085,1,0.5
weka.classifiers.meta.CostSensitiveClassifier,30.508475,69.491525,18,41,0,0,0.305085,1,0.5
weka.classifiers.meta.CostSensitiveClassifier,32.20339,67.79661,19,40,0,0,0.322034,1,0.5
weka.classifiers.meta.CostSensitiveClassifier,30.508475,69.491525,18,41,0,0,0.305085,1,0.5
weka.classifiers.meta.CostSensitiveClassifier,30.508475,69.491525,18,41,0,0,0.305085,1,0.5
weka.classifiers.meta.CostSensitiveClassifier,30.508475,69.491525,18,41,0,0,0.305085,1,0.5
weka.classifiers.meta.CostSensitiveClassifier,30.508475,69.491525,18,41,0,0,0.305085,1,0.5
weka.classifiers.meta.CostSensitiveClassifier,30.508475,69.491525,18,41,0,0,0.305085,1,0.5
weka.classifiers.meta.CostSensitiveClassifier,30.508475,69.491525,18,41,0,0,0.305085,1,0.5
weka.classifiers.meta.CostSensitiveClassifier,30.508475,69.491525,18,41,0,0,0.305085,1,0.5
weka.classifiers.meta.CostSensitiveClassifier,32.20339,67.79661,19,40,0,0,0.322034,1,0.5
weka.classifiers.meta.CostSensitiveClassifier,32.20339,67.79661,19,40,0,0,0.322034,1,0.5
weka.classifiers.meta.CostSensitiveClassifier,30.508475,69.491525,18,41,0,0,0.305085,1,0.5
weka.classifiers.meta.CostSensitiveClassifier,30.508475,69.491525,18,41,0,0,0.305085,1,0.5
weka.classifiers.meta.CostSensitiveClassifier,30.508475,69.491525,18,41,0,0,0.305085,1,0.5
weka.classifiers.meta.CostSensitiveClassifier,30.508475,69.491525,18,41,0,0,0.305085,1,0.5
weka.classifiers.meta.CostSensitiveClassifier,30.508475,69.491525,18,41,0,0,0.305085,1,0.5
weka.classifiers.meta.CostSensitiveClassifier,30.508475,69.491525,18,41,0,0,0.305085,1,0.5
weka.classifiers.meta.CostSensitiveClassifier,30.508475,69.491525,18,41,0,0,0.305085,1,0.5
weka.classifiers.meta.CostSensitiveClassifier,32.20339,67.79661,19,40,0,0,0.322034,1,0.5
weka.classifiers.meta.CostSensitiveClassifier,32.20339,67.79661,19,40,0,0,0.322034,1,0.5
weka.classifiers.meta.CostSensitiveClassifier,32.20339,67.79661,19,40,0,0,0.322034,1,0.5
weka.classifiers.meta.CostSensitiveClassifier,50.847458,49.152542,12,12,28,7,0.5,0.631579,0.665789
weka.classifiers.meta.CostSensitiveClassifier,45.762712,54.237288,15,19,21,4,0.441176,0.789474,0.657237
weka.classifiers.meta.CostSensitiveClassifier,49.152542,50.847458,10,8,33,8,0.555556,0.555556,0.680217
weka.classifiers.meta.CostSensitiveClassifier,66.101695,33.898305,15,11,30,3,0.576923,0.833333,0.78252
weka.classifiers.meta.CostSensitiveClassifier,47.457627,52.542373,14,17,24,4,0.451613,0.777778,0.681572
weka.classifiers.meta.CostSensitiveClassifier,42.372881,57.627119,11,19,22,7,0.366667,0.611111,0.573848
weka.classifiers.meta.CostSensitiveClassifier,47.457627,52.542373,12,19,22,6,0.387097,0.666667,0.601626
weka.classifiers.meta.CostSensitiveClassifier,54.237288,45.762712,8,11,30,10,0.421053,0.444444,0.588076
weka.classifiers.meta.CostSensitiveClassifier,44.067797,55.932203,12,23,18,6,0.342857,0.666667,0.552846
weka.classifiers.meta.CostSensitiveClassifier,44.067797,55.932203,14,23,17,5,0.378378,0.736842,0.580921
weka.classifiers.meta.CostSensitiveClassifier,49.152542,50.847458,15,18,22,4,0.454545,0.789474,0.669737
weka.classifiers.meta.CostSensitiveClassifier,42.372881,57.627119,11,11,29,8,0.5,0.578947,0.651974
weka.classifiers.meta.CostSensitiveClassifier,49.152542,50.847458,13,16,24,6,0.448276,0.684211,0.642105
weka.classifiers.meta.CostSensitiveClassifier,47.457627,52.542373,10,17,24,8,0.37037,0.555556,0.570461
weka.classifiers.meta.CostSensitiveClassifier,45.762712,54.237288,13,20,21,5,0.393939,0.722222,0.617209
weka.classifiers.meta.CostSensitiveClassifier,54.237288,45.762712,11,15,26,7,0.423077,0.611111,0.622629
weka.classifiers.meta.CostSensitiveClassifier,55.932203,44.067797,16,16,25,2,0.5,0.888889,0.749322
